Nuoc,Thanhpho,Chauluc,GDP(trieu$)
Argentina,Argentina,South America,447644
Australia,Australia,Oceania,1488221
Austria,Austria,Europe,419243
Belgium,Belgium,Europe,513396
Brazil,Brazil,South America,2492908
Canada,Canada,North America,1736869
Colombia,Colombia,South America,328422
Denmark,Denmark,Europe,333238
France,France,Europe,2776324
Germany,Germany,Europe,3577031
Greece,Greece,Europe,303065
Italy,Italy,Europe,2198730
Mexico,Mexico,North America,1154784
Netherlands,Netherlands,Europe,840433
Norway,Norway,Europe,483650
Poland,Poland,Europe,513821
South Africa,South Africa,Africa,408074
Spain,Spain,Europe,1493513
Sweden,Sweden,Europe,538237
Switzerland,Switzerland,Europe,636059
United Kingdom,United Kingdom,Europe,2417570
United States,United States,North America,15094025
Venezuela,Venezuela,South America,315841
